rank,index,gene_id,distance_squared,cluster_sum,region_center_gene_id
69,70461,060f2485b2628b2c1d13c77fed380a5d42f6421514772f944fe6fed0fe2370ae,0.15818607028537085,14.650058174295673,852109f77cedf0e21ea3ee9851236978d20f5f2911b3626607ed385888adc480
70,36511,9796a5f26b8763d9e33da57201b00533df02afea8beb2d2790d46d9c6e355c49,0.07698595471568008,14.571699780212452,28498568f83ced7d722c60bf557fa3cd80f4d6e8075161c9f759cd302540a875
71,70684,b8e63de7caadbe39f8b32cee735ff5afde6ca27d22e633cadc8508b169e141d2,0.17153914002168538,14.476787693915746,6f6a085c1522d812e85ac0a3232e841ed36a9f864feafc5a32709aedf246852a
72,54499,2f13a4532d6cdc686f484d19add997ee40dbf9f769405befdddfd0f6a03febd1,0.10929550380309651,14.28553734188409,34803955edb0290870773e916714fa11fca885d3f21cb1179cc58dea19790387
73,68391,0f6cf21b63830cc82856acde1fcd3676d56d82963f7d1c4219f1f684eafded55,0.18991987857827902,14.185317736663674,d0497dc95ad49d5dc4c921c5636276a0e308eea78c42bb9e53b6f8757dfd9d04
74,55031,cfba90ac94d09e6df3a648c2bce92fa48aeb4b617e405cf2a87be03f74438608,0.09115030853593828,14.152878413090528,cae8a5600ca32c8176ad4020be43a9d62e04d4e9c7dcae900910558d43882fe4
75,14723,8ab3b060b6d4465a4302a494c6f0e3ebc73162c40bd3d46b786bca61d7f7d515,0.10571149290609941,13.97501122358106,9ce26cef58a1a8e648b4eec39e3787866b78bcb2a935e1c4f51e30620972eafb
76,61296,6f4935d7ab6f7934ab72ae25e56e4ec711a23dbd2a537391e083819a3864986f,0.21579978577437925,13.959584514970972,a1163617455a24d75deca8704832c81c4b7501c351d1c8ae20c3d69f5d58e132
77,64664,789ec7e0017d24e6d192542fb8354516f03ba3433cf8c7feb8dcfc00ee698110,0.2977516348313851,13.913037364274006,5e621a5d92fcff239ef59409e2b3613bee1b8219d34418a7d6e8f6702a1357b0
78,72897,6c6a17d60e5e5b4925f31d02b70c6ed02a2f14949863a7650541a11c6cb5a987,0.38259454109976476,13.90724392125428,a8b82c29df6986956fd09c4ca37af18f1f7d26e33e3200deaa985f1c5bc20919
79,12651,b9e90835e46a67385772f3be73fd8b68d8dcfc82b1fa8c418ed7be148aa4b92e,0.07947880320053653,13.672826037865846,ada4e79d68677036793d6b67ecf14b0b7ddc155cb4307d5c07dce5ea4523af11
80,53352,1a6d3e00d8717c8032619ee7229ca95f1de8535ad60ee74e6910c1cc12f8c3b2,0.06383364664203756,13.455085829885007,f56352d38436bf60133a2109504348943f45b8be2e9c782259cd939d110beef2
81,38470,2408c49cbcd46f95382c7a6ce8ad4ea9fe307b04304aa4ccc3496807d4d0a1c0,0.08795194590206042,13.338072035996616,909f4d63c6e3c77464f94c299240fed6f6d7150c3e76af6f4258cff50c266328
82,66518,b30c71c13b256a976759cf606ca51e52514b7181157de3ef01ae4cff848e3627,0.13694749053357955,12.96607077056557,84ecd52c1da122a041a6baf2eed281c03c5052a6f0394b2aa6d3cdb1185be879
83,15523,0f6bb7e6b424007463532af94a066d01c0407e07cec42733b7abe9a62a6f8a29,0.16739193091592006,12.692346023100026,f4bc2ab86ae282490047c4d9a2709eed580dbea45d9eb524305b3a979e24a8bc
84,61442,801e736fc36740027f63e991da13d7a4562d0c48dfe50433c216ba4a38f78508,0.10742364455900014,12.5944177380253,799eda4f8ba147faf66852fdadf0c51eee3fb288a885bac5528c8e98ae38885b
85,37890,9bbc0d62856d9d3c2ad7729ea3b902baffe39f23ea31e45dd01fafab7b298721,0.1361585156413496,12.548660638039205,62f7d0cbeff3d7feae7b2773f1a7c1130f5dd821f38fad0d1443e10dadc1dff1
86,49583,9c551e818a06fd1b0bd33099949ea6b17b52f13a8c2f4b357404febcd29b6f90,0.10072164952301707,12.129223926211653,cf9ca1f997e2e4c0f185c9d7f0243bb9058eae1d85b1d9690f127159c96ed08b
87,21192,f9a1e4707ab35f2315adc4c1edc0e2d2e48a1e173962b754554f346a094ac86d,0.06897401818385625,11.833380100737783,f582d0d513e9401adb8f2eccc1f8315fceb2034adf9092536978bfb67975f936
88,73898,b106201e636548f7779ef866f778447cb9e0d3a1bab19d3a91db3fb60ba08a4b,0.3566953995695831,11.811554955573284,525e0565602321ba51a857bdaaed4e8ec701acb4f7b2d89da96ab802bb93656a
89,60533,29bcc952a4843c305880e76dd0d0c3200884c6eff9f893b2c4c8556fa901b812,0.07693736465355097,11.779041755948747,6ac9a3938c59fb891dc88064c023558679c70a7ae833cc8170d64b4f83aa92cc
90,54766,d3e5fe82f94f9892602fcf2c068db9b0aca9376ebc7c232a1fe4441b8e927c0d,0.3920981379500469,11.758207918863011,71732eebc821b9494b7adb3b0b86de1dcc6f764cd64b3e173f8b529e554b2921
91,47609,749275cc7e55f359fc5282a84847e09df7984f46c344bacfb127354e5128f08d,0.12672843628548008,11.64044920603501,65c441d577be9d050dd990814a390af9762a74c355ebeb1b406e559e023e1e6e
92,45120,ae64057ac2d58fc4087eb58e11b490cda5623676292de85ad9e56843fb728188,0.10864893836777205,11.515568642112928,f6bcf1bcf5cc7d906db1da83138414c4a0f8802865623c936510522b6e150d43
