setting,group,step,role,source,n,target,mae,rmse,r2,bias,absolute_error_p95
α=0.95,G-S,15500,old_validation,all,6483,delta_t,0.027285279706982427,0.03656772525313432,0.9643268646165796,0.0017359120115929688,0.07257905080914495
α=0.95,G-S,15500,dev_common,all,200,tavg,0.016495421335235932,0.021850292030805678,0.9996187977483945,-0.002740442307419608,0.04699469916482157
α=0.95,G-S,15500,dev_common,all,200,delta_t,0.0505743657459357,0.0623734401615005,0.981764607377632,-0.0017890441507816249,0.12514124694358186
α=0.95,G-S,15500,dev_common,U,50,tavg,0.015309760684695443,0.020431986425063647,0.9997233526305819,-0.004492020535997281,0.04797448315319364
α=0.95,G-S,15500,dev_common,U,50,delta_t,0.051788200137068904,0.06456163405142602,0.9700249484797766,-0.004292891261483768,0.11407080713793939
α=0.95,G-S,15500,dev_common,L,50,tavg,0.016144344502684666,0.020629367652511263,0.9996761756024319,-0.0033410924841671807,0.0419723934750897
α=0.95,G-S,15500,dev_common,L,50,delta_t,0.05127715524732093,0.06409669379336361,0.9786053098106013,-0.006162916180512164,0.13455836296544946
α=0.95,G-S,15500,dev_common,B,50,tavg,0.022851175237218673,0.028980276558834665,0.9993571172492471,-0.0012206090693938642,0.05275786435321504
α=0.95,G-S,15500,dev_common,B,50,delta_t,0.06037353384053198,0.07228226539383664,0.984697373040618,0.013495253863354737,0.1317242299410755
α=0.95,G-S,15500,dev_common,P,50,tavg,0.01167640491634494,0.015061465363069947,0.9978674070304061,-0.0019080471401201082,0.02910131766007311
α=0.95,G-S,15500,dev_common,P,50,delta_t,0.038858573758820965,0.04539237285299849,0.9680000092816219,-0.010195623024485304,0.07878584152099309
α=0.95,F-S,12500,old_validation,all,6483,tavg,0.009594962366308012,0.013990679270408559,0.9984418231542064,-0.001668183998103203,0.02473690509796142
α=0.95,F-S,12500,old_validation,all,6483,delta_t,0.027922303837752904,0.03737244790456419,0.9627395168661814,0.00040855922796706733,0.07440286204218863
α=0.95,F-S,12500,dev_common,all,200,tavg,0.015920988533525117,0.020229825818318756,0.9996732427347574,0.0016116963310767905,0.03814722812612876
α=0.95,F-S,12500,dev_common,all,200,delta_t,0.0432347718613253,0.055059657628865444,0.9857903711090193,-0.008616843679618829,0.11302594656917854
α=0.95,F-S,12500,dev_common,U,50,tavg,0.015966771204439,0.02072460866800754,0.9997153717256928,0.0031203604454480317,0.03537102112403816
α=0.95,F-S,12500,dev_common,U,50,delta_t,0.05119908076183816,0.0642513577286964,0.970312369954567,-0.016588088211919406,0.11585157991885595
α=0.95,F-S,12500,dev_common,L,50,tavg,0.017753412728366502,0.02131095957148368,0.9996544238635129,0.00033873377544585637,0.03793236890649208
α=0.95,F-S,12500,dev_common,L,50,delta_t,0.04447468338546771,0.05852851776507596,0.9821610291256836,-0.00902383958997414,0.1227645752445155
α=0.95,F-S,12500,dev_common,B,50,tavg,0.017087752597238652,0.02230732628450938,0.9996190905375849,0.003706444382144222,0.04702862284784732
α=0.95,F-S,12500,dev_common,B,50,delta_t,0.04005527485269946,0.05048624438477301,0.9925346768587474,0.0018981956863604122,0.0999206724751249
α=0.95,F-S,12500,dev_common,P,50,tavg,0.012876017604056317,0.01599062857723349,0.997596165355567,-0.0007187532787309481,0.03375579630441887
α=0.95,F-S,12500,dev_common,P,50,delta_t,0.03721004844529586,0.04498420121547978,0.9685729145011507,-0.010753642602942181,0.07806989871032798
α=0.80,G-S,13500,old_validation,all,6483,tavg,0.009152325439394284,0.013798380830937849,0.9984843622998268,0.0007661672059941324,0.024269509315490715
α=0.80,G-S,13500,old_validation,all,6483,delta_t,0.027322368003047583,0.03669406241912253,0.9640799458870453,0.00046065540447861035,0.07360874712467193
α=0.80,G-S,13500,dev_common,all,200,tavg,0.018936567717141937,0.024584435679747885,0.9995174287402439,0.008935935346656014,0.05348863748599033
α=0.80,G-S,13500,dev_common,all,200,delta_t,0.05033358177589332,0.06190336179631751,0.9820384342432871,-0.005293318191242211,0.12349234933683524
α=0.80,G-S,13500,dev_common,U,50,tavg,0.017548334908850452,0.023563954293707733,0.9996320390719358,0.012742621969648472,0.04871329182608962
α=0.80,G-S,13500,dev_common,U,50,delta_t,0.0526573029363283,0.06516758266779421,0.9694596412957064,-0.009053140518571477,0.12524940792605585
