relative_path,absolute_path,reader,version,read_status,variable_count,candidate_count,error
IA_test/0104 groupB/best_result_20260104_150857.mat,C:\Users\26096\Desktop\em\FP\IA_test\0104 groupB\best_result_20260104_150857.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/0107 groupA2/best_bits_coarse.mat,C:\Users\26096\Desktop\em\FP\IA_test\0107 groupA2\best_bits_coarse.mat,scipy.io,MATLAB v5-v7.2,ok,84,5,
IA_test/0107 groupA2/best_result_20260107_145512.mat,C:\Users\26096\Desktop\em\FP\IA_test\0107 groupA2\best_result_20260107_145512.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/0109 groupA2 best/best_bits_coarse.mat,C:\Users\26096\Desktop\em\FP\IA_test\0109 groupA2 best\best_bits_coarse.mat,scipy.io,MATLAB v5-v7.2,ok,84,5,
IA_test/0109 groupA2 best/best_result_group4 100gen.mat,C:\Users\26096\Desktop\em\FP\IA_test\0109 groupA2 best\best_result_group4 100gen.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/0118 groupA2/best_bits_coarse.mat,C:\Users\26096\Desktop\em\FP\IA_test\0118 groupA2\best_bits_coarse.mat,scipy.io,MATLAB v5-v7.2,ok,84,5,
IA_test/0118 groupA2/best_result_20260118_222549.mat,C:\Users\26096\Desktop\em\FP\IA_test\0118 groupA2\best_result_20260118_222549.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/0119 groupA2 存在悬浮铁/best_bits_coarse.mat,C:\Users\26096\Desktop\em\FP\IA_test\0119 groupA2 存在悬浮铁\best_bits_coarse.mat,scipy.io,MATLAB v5-v7.2,ok,84,5,
IA_test/0119 groupA2 存在悬浮铁/best_result_20260119_234704.mat,C:\Users\26096\Desktop\em\FP\IA_test\0119 groupA2 存在悬浮铁\best_result_20260119_234704.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/0120/best_bits_coarse.mat,C:\Users\26096\Desktop\em\FP\IA_test\0120\best_bits_coarse.mat,scipy.io,MATLAB v5-v7.2,ok,84,5,
IA_test/0120/best_result_20260121_013313.mat,C:\Users\26096\Desktop\em\FP\IA_test\0120\best_result_20260121_013313.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/12.21 N3G10/matlab.mat,C:\Users\26096\Desktop\em\FP\IA_test\12.21 N3G10\matlab.mat,scipy.io,MATLAB v5-v7.2,error,0,0,TypeError: 'NoneType' object is not iterable
IA_test/1225/best_result_20251225_205238.mat,C:\Users\26096\Desktop\em\FP\IA_test\1225\best_result_20251225_205238.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/1226/best_result_20251226_165530.mat,C:\Users\26096\Desktop\em\FP\IA_test\1226\best_result_20251226_165530.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/1227.1/best_result_20251227_151645.mat,C:\Users\26096\Desktop\em\FP\IA_test\1227.1\best_result_20251227_151645.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/1227.2/best_result_20251228_001658.mat,C:\Users\26096\Desktop\em\FP\IA_test\1227.2\best_result_20251228_001658.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/1229/best_bits_coarse.mat,C:\Users\26096\Desktop\em\FP\IA_test\1229\best_bits_coarse.mat,scipy.io,MATLAB v5-v7.2,ok,84,5,
IA_test/1229/best_result_20251229_221434.mat,C:\Users\26096\Desktop\em\FP\IA_test\1229\best_result_20251229_221434.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/1230/best_bits_coarse.mat,C:\Users\26096\Desktop\em\FP\IA_test\1230\best_bits_coarse.mat,scipy.io,MATLAB v5-v7.2,ok,84,5,
IA_test/1230/best_result_20251230_130901.mat,C:\Users\26096\Desktop\em\FP\IA_test\1230\best_result_20251230_130901.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/1230.2/best_bits_coarse.mat,C:\Users\26096\Desktop\em\FP\IA_test\1230.2\best_bits_coarse.mat,scipy.io,MATLAB v5-v7.2,ok,84,5,
IA_test/1230.2/best_result_20251230_165105.mat,C:\Users\26096\Desktop\em\FP\IA_test\1230.2\best_result_20251230_165105.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/1230.3/best_bits_coarse.mat,C:\Users\26096\Desktop\em\FP\IA_test\1230.3\best_bits_coarse.mat,scipy.io,MATLAB v5-v7.2,ok,84,5,
IA_test/1230.3/best_result_20251230_212929.mat,C:\Users\26096\Desktop\em\FP\IA_test\1230.3\best_result_20251230_212929.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/1231/best_bits_coarse.mat,C:\Users\26096\Desktop\em\FP\IA_test\1231\best_bits_coarse.mat,scipy.io,MATLAB v5-v7.2,ok,84,5,
IA_test/1231/best_result_20251231_192359.mat,C:\Users\26096\Desktop\em\FP\IA_test\1231\best_result_20251231_192359.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/无优化组/best_bits_coarse.mat,C:\Users\26096\Desktop\em\FP\IA_test\无优化组\best_bits_coarse.mat,scipy.io,MATLAB v5-v7.2,ok,84,5,
IA_test/无优化组/best_result_20251224_164638.mat,C:\Users\26096\Desktop\em\FP\IA_test\无优化组\best_result_20251224_164638.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/无优化组/best_result_20251225_164109.mat,C:\Users\26096\Desktop\em\FP\IA_test\无优化组\best_result_20251225_164109.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/无优化组/best_result_20251225_205212.mat,C:\Users\26096\Desktop\em\FP\IA_test\无优化组\best_result_20251225_205212.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/无优化组/best_result_20251228_164352.mat,C:\Users\26096\Desktop\em\FP\IA_test\无优化组\best_result_20251228_164352.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
