sample_id,geometry_id,operating_point_id,simulation_id,fem_path,mat_path,match_status,match_score,problem_type,length_unit,axial_length,material_names,geometry_bbox,operating_current,current_angle,speed_rpm,rotor_position,candidate_target_names,validation_status,notes
SAMPLE_0060,GEOM_0054,OP_27e025d016,SIM_3a5bc5ac3955,IA_test/12.21 N3G10/w01/case_c55d66e1-d6c1-495f-871d-c7b32467c15c.fem,,unmatched,11,planar,millimeters,36,Air|Pure Iron|Copper|N40|Air|N40|Air,"[0.0,0.0,74.0,74.0]",8.66025403784,,,,,pending_review,operating_current 来源: FEM circuit max_abs(current_re)
SAMPLE_0061,GEOM_0043,OP_27e025d016,SIM_63cd0a52df37,IA_test/12.21 N3G10/w01/case_c5866522-4cf0-4a2a-b1a1-7cd7f573cc1a.fem,,unmatched,11,planar,millimeters,36,Air|Pure Iron|Copper|N40|Air|N40|Air,"[0.0,0.0,74.0,74.0]",8.66025403784,,,,,pending_review,operating_current 来源: FEM circuit max_abs(current_re)
SAMPLE_0062,GEOM_0055,OP_27e025d016,SIM_0adfe2091c83,IA_test/12.21 N3G10/w01/case_d913c8cd-1263-4f0d-b05e-0a8fab3137c5.fem,,unmatched,16,planar,millimeters,36,Air|Pure Iron|Copper|N40|Air|N40|Air,"[0.0,0.0,74.0,74.0]",8.66025403784,,,,,pending_review,operating_current 来源: FEM circuit max_abs(current_re)
SAMPLE_0063,GEOM_0056,OP_27e025d016,SIM_c4cf0c31037b,IA_test/12.21 N3G10/w01/case_dae5f276-1734-4152-ad34-77bd08daf795.fem,,unmatched,16,planar,millimeters,36,Air|Pure Iron|Copper|N40|Air|N40|Air,"[0.0,0.0,74.0,74.0]",8.66025403784,,,,,pending_review,operating_current 来源: FEM circuit max_abs(current_re)
SAMPLE_0064,GEOM_0057,OP_27e025d016,SIM_dc0bbbd52f7d,IA_test/12.21 N3G10/w01/case_dc30fb28-b7bc-4faf-9a24-649f92b0e581.fem,,unmatched,11,planar,millimeters,36,Air|Pure Iron|Copper|N40|Air|N40|Air,"[0.0,0.0,74.0,74.0]",8.66025403784,,,,,pending_review,operating_current 来源: FEM circuit max_abs(current_re)
SAMPLE_0065,GEOM_0030,OP_27e025d016,SIM_0f163fd0e5da,IA_test/12.21 N3G10/w01/case_e33f1d2d-0d7e-4924-a9d0-3977d35a0b95.fem,,unmatched,11,planar,millimeters,36,Air|Pure Iron|Copper|N40|Air|N40|Air,"[0.0,0.0,74.0,74.0]",8.66025403784,,,,,pending_review,operating_current 来源: FEM circuit max_abs(current_re)
SAMPLE_0066,GEOM_0034,OP_27e025d016,SIM_08dab8795ebc,IA_test/12.21 N3G10/w01/case_e4e2c761-d87a-4501-b0d7-4dc276a3fe44.fem,,unmatched,11,planar,millimeters,36,Air|Pure Iron|Copper|N40|Air|N40|Air,"[0.0,0.0,74.0,74.0]",8.66025403784,,,,,pending_review,operating_current 来源: FEM circuit max_abs(current_re)
SAMPLE_0067,GEOM_0058,OP_27e025d016,SIM_42113d23d1bb,IA_test/12.21 N3G10/w01/case_e51f9061-5028-4304-bded-31ea0ccc434c.fem,,unmatched,11,planar,millimeters,36,Air|Pure Iron|Copper|N40|Air|N40|Air,"[0.0,0.0,74.0,74.0]",8.66025403784,,,,,pending_review,operating_current 来源: FEM circuit max_abs(current_re)
SAMPLE_0068,GEOM_0059,OP_27e025d016,SIM_a7ba80dd0142,IA_test/12.21 N3G10/w01/case_e7958f48-6565-488f-8a32-ed6e9fdbbbee.fem,,unmatched,11,planar,millimeters,36,Air|Pure Iron|Copper|N40|Air|N40|Air,"[0.0,0.0,74.0,74.0]",8.66025403784,,,,,pending_review,operating_current 来源: FEM circuit max_abs(current_re)
SAMPLE_0069,GEOM_0060,OP_27e025d016,SIM_9550ef9c53bb,IA_test/12.21 N3G10/w01/case_e89c0421-6da4-4e3b-ab9d-837f509f1cc5.fem,,unmatched,11,planar,millimeters,36,Air|Pure Iron|Copper|N40|Air|N40|Air,"[0.0,0.0,74.0,74.0]",8.66025403784,,,,,pending_review,operating_current 来源: FEM circuit max_abs(current_re)
SAMPLE_0070,GEOM_0022,OP_db5410d5c6,SIM_e02f3c7be294,IA_test/12.21 N3G10/w02/blank_inset_9x5_w02.fem,,unmatched,8,planar,millimeters,36,Air|Pure Iron|Copper|N40|Air|N40|Air,"[0.0,0.0,74.0,74.0]",0,,,,,pending_review,operating_current 来源: FEM circuit max_abs(current_re)
SAMPLE_0071,GEOM_0061,OP_27e025d016,SIM_3908bd18446c,IA_test/12.21 N3G10/w02/case_000001.fem,,unmatched,11,planar,millimeters,36,Air|Pure Iron|Copper|N40|Air|N40|Air,"[0.0,0.0,74.0,74.0]",8.66025403784,,,,,pending_review,operating_current 来源: FEM circuit max_abs(current_re)
