sample_id,fem_path,mat_path,match_score,match_status,matching_evidence,conflicting_evidence
SAMPLE_0081,IA_test/12.21 N3G10/w02/case_39c72458-418d-4b0c-8b68-5fc28c1f9ce2.fem,,11,unmatched,位于父子目录；修改时间相差 2.6 小时,最高候选分低于最低证据阈值
SAMPLE_0082,IA_test/12.21 N3G10/w02/case_3a323f0f-60ba-4182-ae91-0c7440176ebc.fem,,11,unmatched,位于父子目录；修改时间相差 10.6 小时,最高候选分低于最低证据阈值
SAMPLE_0083,IA_test/12.21 N3G10/w02/case_3f463c7e-3d8c-4c80-9e27-fb58c599e037.fem,,11,unmatched,位于父子目录；修改时间相差 2.1 小时,最高候选分低于最低证据阈值
SAMPLE_0084,IA_test/12.21 N3G10/w02/case_43941121-5520-4fab-a0e2-0ea2f23e15e3.fem,,11,unmatched,位于父子目录；修改时间相差 5.6 小时,最高候选分低于最低证据阈值
SAMPLE_0085,IA_test/12.21 N3G10/w02/case_45e42035-642a-401b-bb86-90917e928696.fem,,11,unmatched,位于父子目录；修改时间相差 3.6 小时,最高候选分低于最低证据阈值
SAMPLE_0086,IA_test/12.21 N3G10/w02/case_5128b0bc-6616-42bc-948a-0526565a2964.fem,,11,unmatched,位于父子目录；修改时间相差 1.0 小时,最高候选分低于最低证据阈值
SAMPLE_0087,IA_test/12.21 N3G10/w02/case_54b7a8af-c961-4020-904c-27aee80cfda6.fem,,11,unmatched,位于父子目录；修改时间相差 9.0 小时,最高候选分低于最低证据阈值
SAMPLE_0088,IA_test/12.21 N3G10/w02/case_5cb4e85c-14dd-444a-9cc3-965f42880507.fem,,11,unmatched,位于父子目录；修改时间相差 4.5 小时,最高候选分低于最低证据阈值
SAMPLE_0089,IA_test/12.21 N3G10/w02/case_6dc6b2ab-4d29-44fa-a85f-5e86f0132a64.fem,,11,unmatched,位于父子目录；修改时间相差 1.4 小时,最高候选分低于最低证据阈值
SAMPLE_0090,IA_test/12.21 N3G10/w02/case_6ea371ff-ec56-4ae1-90b7-9c6394e79cb8.fem,,11,unmatched,位于父子目录；修改时间相差 3.2 小时,最高候选分低于最低证据阈值
SAMPLE_0091,IA_test/12.21 N3G10/w02/case_7406642a-8a7f-44e5-a919-9d6bdcdf667f.fem,,11,unmatched,位于父子目录；修改时间相差 2.3 小时,最高候选分低于最低证据阈值
SAMPLE_0092,IA_test/12.21 N3G10/w02/case_749129f2-9526-483c-aeb7-23858e7b0e59.fem,,11,unmatched,位于父子目录；修改时间相差 6.2 小时,最高候选分低于最低证据阈值
SAMPLE_0093,IA_test/12.21 N3G10/w02/case_85e13400-b93f-41d7-a022-6af54ca5fdf6.fem,,11,unmatched,位于父子目录；修改时间相差 11.0 小时,最高候选分低于最低证据阈值
