geometry_id,simulation_count,operating_point_count,confirmed_pair_count,fem_paths
GEOM_0137,1,1,0,IA_test_group4/best_J0.11069_20260203_184421.fem
GEOM_0138,1,1,0,IA_test_group4/best_J0.121914_20260205_172915.fem
GEOM_0139,2,1,0,IA_test_groupA/0103 groupA/best_J0.112828_20260103_174233.fem|IA_test_groupA/best_J0.112828_20260104_040221.fem
GEOM_0140,1,1,0,IA_test_groupA/best_J0.0937403_20260107_221145.fem
GEOM_0141,1,1,0,IA_test_N/0204 100gen/model.fem
GEOM_0142,1,1,0,temp_airgap_scan.fem
GEOM_0143,1,1,0,temp_motor.fem
GEOM_0144,1,1,0,免疫算法测试/0317/groupF_1000gen_block.fem
GEOM_0145,1,1,0,免疫算法测试/0317/groupN_100gen_block.fem
GEOM_0146,1,1,0,免疫算法测试/0414/groupF 1000gen.fem
GEOM_0147,1,1,0,免疫算法测试/0414/groupN 100gen.fem
GEOM_0148,1,1,0,免疫算法测试/0415/group4 100gen.fem
GEOM_0149,1,1,0,免疫算法测试/0415/groupF 1000gen.fem
GEOM_0150,1,1,0,免疫算法测试/0415/groupN 100gen.fem
GEOM_0151,1,1,0,待修改模型.FEM
GEOM_0152,1,1,0,无标题.FEM
GEOM_0153,1,1,0,论文/ppt/blank.FEM
GEOM_0154,1,1,0,论文/ppt/blank_18x10.FEM
GEOM_0155,1,1,0,论文/ppt/dis referencemodell.fem
GEOM_0156,1,1,0,论文/ppt/group4 100gen.fem
GEOM_0157,1,1,0,论文/ppt/groupF 1000gen.fem
GEOM_0158,1,1,0,论文/ppt/groupF 100gen.fem
GEOM_0159,1,1,0,论文/ppt/groupN 100gen.fem
GEOM_0160,1,1,0,论文/ppt/strukturFemm.fem
