model_id,evaluation_set,target,metric,mean,std
polar90_224/vgg16_v2,full_test,tavg,absolute_error_p95,0.017833685874938963,0.0
polar90_224/vgg16_v2,full_test,tavg,fraction_absolute_error_le_0_05_nm,0.988894030541416,0.0
polar90_224/vgg16_v2,full_test,tavg,fraction_absolute_error_le_0_10_nm,0.998611753817677,0.0
polar90_224/vgg16_v2,full_test,delta_t,mae,0.011925505085476346,0.0
polar90_224/vgg16_v2,full_test,delta_t,rmse,0.020807399895384646,0.0
polar90_224/vgg16_v2,full_test,delta_t,r2,0.9883148181668123,0.0
polar90_224/vgg16_v2,full_test,delta_t,normalized_mae_by_actual_range,0.008629393420700545,0.0
polar90_224/vgg16_v2,full_test,delta_t,bias,-0.000127759057187784,0.0
polar90_224/vgg16_v2,full_test,delta_t,calibration_slope_predicted_vs_actual,0.9844501352521677,0.0
polar90_224/vgg16_v2,full_test,delta_t,calibration_intercept_nm,0.006188954817561583,0.0
polar90_224/vgg16_v2,full_test,delta_t,absolute_error_p50,0.008233748376369476,0.0
polar90_224/vgg16_v2,full_test,delta_t,absolute_error_p90,0.023367947340011602,0.0
polar90_224/vgg16_v2,full_test,delta_t,absolute_error_p95,0.030222347378730762,0.0
polar90_224/vgg16_v2,full_test,delta_t,fraction_absolute_error_le_0_05_nm,0.9808730525991054,0.0
polar90_224/vgg16_v2,full_test,delta_t,fraction_absolute_error_le_0_10_nm,0.9932130186641986,0.0
xy360_224/vgg16_v2,full_validation,both,standardized_mse,0.007097358157426997,0.0
xy360_224/vgg16_v2,full_validation,tavg,mae,0.008526617661118507,0.0
xy360_224/vgg16_v2,full_validation,tavg,rmse,0.0136946439743042,0.0
xy360_224/vgg16_v2,full_validation,tavg,r2,0.9985070824623108,0.0
xy360_224/vgg16_v2,full_validation,tavg,normalized_mae_by_actual_range,0.004135932307690382,0.0
xy360_224/vgg16_v2,full_validation,tavg,bias,0.0024985114578157663,0.0
xy360_224/vgg16_v2,full_validation,tavg,calibration_slope_predicted_vs_actual,0.9841102852384379,0.0
xy360_224/vgg16_v2,full_validation,tavg,calibration_intercept_nm,0.051737009231857076,0.0
xy360_224/vgg16_v2,full_validation,tavg,absolute_error_p50,0.0058329105377197266,0.0
xy360_224/vgg16_v2,full_validation,tavg,absolute_error_p90,0.01706070825457573,0.0
xy360_224/vgg16_v2,full_validation,tavg,absolute_error_p95,0.02313990518450737,0.0
xy360_224/vgg16_v2,full_validation,tavg,fraction_absolute_error_le_0_05_nm,0.985192040721888,0.0
xy360_224/vgg16_v2,full_validation,tavg,fraction_absolute_error_le_0_10_nm,0.9983032546660496,0.0
xy360_224/vgg16_v2,full_validation,delta_t,mae,0.014386368915438652,0.0
xy360_224/vgg16_v2,full_validation,delta_t,rmse,0.021564558148384094,0.0
xy360_224/vgg16_v2,full_validation,delta_t,r2,0.9875941276550293,0.0
xy360_224/vgg16_v2,full_validation,delta_t,normalized_mae_by_actual_range,0.009070753119885921,0.0
xy360_224/vgg16_v2,full_validation,delta_t,bias,0.002017596270889044,0.0
xy360_224/vgg16_v2,full_validation,delta_t,calibration_slope_predicted_vs_actual,0.9906786754594085,0.0
xy360_224/vgg16_v2,full_validation,delta_t,calibration_intercept_nm,0.005828337995998639,0.0
xy360_224/vgg16_v2,full_validation,delta_t,absolute_error_p50,0.010547146201133728,0.0
xy360_224/vgg16_v2,full_validation,delta_t,absolute_error_p90,0.02893994376063347,0.0
xy360_224/vgg16_v2,full_validation,delta_t,absolute_error_p95,0.03792668506503105,0.0
xy360_224/vgg16_v2,full_validation,delta_t,fraction_absolute_error_le_0_05_nm,0.9765540644763226,0.0
xy360_224/vgg16_v2,full_validation,delta_t,fraction_absolute_error_le_0_10_nm,0.994447015270708,0.0
xy360_224/vgg16_v2,full_test,both,standardized_mse,0.008647084591423304,0.0
xy360_224/vgg16_v2,full_test,tavg,mae,0.008709568310239958,0.0
xy360_224/vgg16_v2,full_test,tavg,rmse,0.014148356706472808,0.0
xy360_224/vgg16_v2,full_test,tavg,r2,0.9984235876738877,0.0
xy360_224/vgg16_v2,full_test,tavg,normalized_mae_by_actual_range,0.0041220694630412546,0.0
xy360_224/vgg16_v2,full_test,tavg,bias,0.0027884863674429196,0.0
xy360_224/vgg16_v2,full_test,tavg,calibration_slope_predicted_vs_actual,0.9843001783840666,0.0
xy360_224/vgg16_v2,full_test,tavg,calibration_intercept_nm,0.05144850882906087,0.0
xy360_224/vgg16_v2,full_test,tavg,absolute_error_p50,0.005833148956298828,0.0
xy360_224/vgg16_v2,full_test,tavg,absolute_error_p90,0.017577362060546876,0.0
xy360_224/vgg16_v2,full_test,tavg,absolute_error_p95,0.0248969793319702,0.0
xy360_224/vgg16_v2,full_test,tavg,fraction_absolute_error_le_0_05_nm,0.9850377911460744,0.0
xy360_224/vgg16_v2,full_test,tavg,fraction_absolute_error_le_0_10_nm,0.9984575042418633,0.0
xy360_224/vgg16_v2,full_test,delta_t,mae,0.015002761393574015,0.0
xy360_224/vgg16_v2,full_test,delta_t,rmse,0.023972728354681228,0.0
xy360_224/vgg16_v2,full_test,delta_t,r2,0.9844891793746205,0.0
xy360_224/vgg16_v2,full_test,delta_t,normalized_mae_by_actual_range,0.010856121357888505,0.0
xy360_224/vgg16_v2,full_test,delta_t,bias,0.0029896657041068725,0.0
xy360_224/vgg16_v2,full_test,delta_t,calibration_slope_predicted_vs_actual,0.9924322728681526,0.0
xy360_224/vgg16_v2,full_test,delta_t,calibration_intercept_nm,0.006063851090878121,0.0
xy360_224/vgg16_v2,full_test,delta_t,absolute_error_p50,0.010574817657470703,0.0
xy360_224/vgg16_v2,full_test,delta_t,absolute_error_p90,0.02993624806404114,0.0
xy360_224/vgg16_v2,full_test,delta_t,absolute_error_p95,0.04014597982168197,0.0
xy360_224/vgg16_v2,full_test,delta_t,fraction_absolute_error_le_0_05_nm,0.9705383310195898,0.0
xy360_224/vgg16_v2,full_test,delta_t,fraction_absolute_error_le_0_10_nm,0.9924417707851303,0.0
polar360_224/vgg16_v2,full_validation,both,standardized_mse,0.028316147291589516,0.0
polar360_224/vgg16_v2,full_validation,tavg,mae,0.015221652574837208,0.0
polar360_224/vgg16_v2,full_validation,tavg,rmse,0.02047445997595787,0.0
polar360_224/vgg16_v2,full_validation,tavg,r2,0.9966629147529602,0.0
polar360_224/vgg16_v2,full_validation,tavg,normalized_mae_by_actual_range,0.007383435033261776,0.0
polar360_224/vgg16_v2,full_validation,tavg,bias,-0.00532254483550787,0.0
polar360_224/vgg16_v2,full_validation,tavg,calibration_slope_predicted_vs_actual,0.9882101115324158,0.0
polar360_224/vgg16_v2,full_validation,tavg,calibration_intercept_nm,0.031211553701838562,0.0
polar360_224/vgg16_v2,full_validation,tavg,absolute_error_p50,0.012202024459838867,0.0
polar360_224/vgg16_v2,full_validation,tavg,absolute_error_p90,0.030668258666992188,0.0
polar360_224/vgg16_v2,full_validation,tavg,absolute_error_p95,0.0388336181640625,0.0
polar360_224/vgg16_v2,full_validation,tavg,fraction_absolute_error_le_0_05_nm,0.9780965602344593,0.0
polar360_224/vgg16_v2,full_validation,tavg,fraction_absolute_error_le_0_10_nm,0.997686256362795,0.0
polar360_224/vgg16_v2,full_validation,delta_t,mae,0.03340353071689606,0.0
polar360_224/vgg16_v2,full_validation,delta_t,rmse,0.04415517300367355,0.0
polar360_224/vgg16_v2,full_validation,delta_t,r2,0.9479873776435852,0.0
polar360_224/vgg16_v2,full_validation,delta_t,normalized_mae_by_actual_range,0.02106126956641674,0.0
polar360_224/vgg16_v2,full_validation,delta_t,bias,0.0053667169995605946,0.0
polar360_224/vgg16_v2,full_validation,delta_t,calibration_slope_predicted_vs_actual,0.9608483174948327,0.0
polar360_224/vgg16_v2,full_validation,delta_t,calibration_intercept_nm,0.021372699918638507,0.0
polar360_224/vgg16_v2,full_validation,delta_t,absolute_error_p50,0.026307225227355957,0.0
polar360_224/vgg16_v2,full_validation,delta_t,absolute_error_p90,0.07029973715543747,0.0
polar360_224/vgg16_v2,full_validation,delta_t,absolute_error_p95,0.08816945552825928,0.0
polar360_224/vgg16_v2,full_validation,delta_t,fraction_absolute_error_le_0_05_nm,0.7783433595557612,0.0
polar360_224/vgg16_v2,full_validation,delta_t,fraction_absolute_error_le_0_10_nm,0.9688415856856394,0.0
polar360_224/vgg16_v2,full_test,both,standardized_mse,0.029834284403226503,0.0
polar360_224/vgg16_v2,full_test,tavg,mae,0.01577020020612169,0.0
polar360_224/vgg16_v2,full_test,tavg,rmse,0.02135777670852774,0.0
polar360_224/vgg16_v2,full_test,tavg,r2,0.9964077222847145,0.0
polar360_224/vgg16_v2,full_test,tavg,normalized_mae_by_actual_range,0.007463729358350958,0.0
polar360_224/vgg16_v2,full_test,tavg,bias,-0.005638528583631937,0.0
polar360_224/vgg16_v2,full_test,tavg,calibration_slope_predicted_vs_actual,0.987820031968332,0.0
polar360_224/vgg16_v2,full_test,tavg,calibration_intercept_nm,0.032112060722507704,0.0
polar360_224/vgg16_v2,full_test,tavg,absolute_error_p50,0.012656927108764648,0.0
polar360_224/vgg16_v2,full_test,tavg,absolute_error_p90,0.032259845733642586,0.0
polar360_224/vgg16_v2,full_test,tavg,absolute_error_p95,0.0400569438934326,0.0
polar360_224/vgg16_v2,full_test,tavg,fraction_absolute_error_le_0_05_nm,0.9790220576893414,0.0
polar360_224/vgg16_v2,full_test,tavg,fraction_absolute_error_le_0_10_nm,0.9972235076353541,0.0
polar360_224/vgg16_v2,full_test,delta_t,mae,0.03371152203210007,0.0
polar360_224/vgg16_v2,full_test,delta_t,rmse,0.04527756258884542,0.0
polar360_224/vgg16_v2,full_test,delta_t,r2,0.9446693303746824,0.0
polar360_224/vgg16_v2,full_test,delta_t,normalized_mae_by_actual_range,0.024393934205763315,0.0
polar360_224/vgg16_v2,full_test,delta_t,bias,0.005337093966680784,0.0
polar360_224/vgg16_v2,full_test,delta_t,calibration_slope_predicted_vs_actual,0.9537947219109558,0.0
polar360_224/vgg16_v2,full_test,delta_t,calibration_intercept_nm,0.024106744116365417,0.0
polar360_224/vgg16_v2,full_test,delta_t,absolute_error_p50,0.026418618857860565,0.0
polar360_224/vgg16_v2,full_test,delta_t,absolute_error_p90,0.07165977954864503,0.0
polar360_224/vgg16_v2,full_test,delta_t,absolute_error_p95,0.08966650664806361,0.0
polar360_224/vgg16_v2,full_test,delta_t,fraction_absolute_error_le_0_05_nm,0.7788061082832022,0.0
polar360_224/vgg16_v2,full_test,delta_t,fraction_absolute_error_le_0_10_nm,0.9642140984112294,0.0
